Name,Address,Type,Property Age,No. of units,Transactions in last 180 days,Latest transaction unit price
俊賢花園,列堤頓道29號,屋苑,25,126,2,$22803
明珠台,干德道7號,屋苑,44,120,2,-
福苑,旭龢道9號,屋苑,29,138,2,$21475
福熙苑,摩羅廟街1-9號,單幢物業,26,124,2,-
嘉景臺,堅道93號,單幢物業,28,221,2,$21072
景翠園,羅便臣道125號,屋苑,44,96,2,-
羅便臣花園大廈,羅便臣道3-3G號,屋苑,44~60,80,2,$19433
麗豪閣,干德道8號,屋苑,24~26,186,1,-
寶城大廈,寶珊道10-16號,屋苑,53,77,1,-
芝蘭台,干德道5號,屋苑,47~51,84,1,-
翠海別墅,摩星嶺道60-62號,屋苑,52,79,1,-
富林苑,薄扶林道84號,屋苑,39~43,96,1,-
裕仁大廈,薄扶林道96號,屋苑,51,96,1,-
趙苑,域多利道200號,屋苑,7~41,75,1,-
帝柏園,碧荔道41-45號,屋苑,21,34,1,-
殷然,堅道100號,單幢物業,2,213,1,-
殷榮閣,干德道30號,單幢物業,25,117,1,-
堅都大廈,堅道80-88號,單幢物業,38,144,1,$17640
錦翠園,般咸道46A-50號,單幢物業,35,103,1,-
衛城閣,衛城道6號,單幢物業,25,100,1,-
蔚華閣,干德道56A號,單幢物業,25,100,1,-
景輝大廈,薄扶林道64-68號,屋苑,39,198,1,-
寶威閣,柏道4號,屋苑,30,208,1,-
恆柏園,列堤頓道1號,屋苑,45,136,1,-
康威園,干德道29號,屋苑,46,120,1,$20000
添寶閣,堅道43-45號,屋苑,25~27,46,1,-
利嘉大廈,薄扶林道92號,屋苑,53,48,1,-
AQUA 33,金粟街33號,屋苑,0,40,1,-
寶珊道1號,寶珊道1號,屋苑,16,58,1,-
富景花園,干德道58A-58B號,屋苑,30,215,1,-
雍慧閣,般咸道11號,單幢物業,14,128,1,-
瀚然,西摩道33號,單幢物業,3,129,1,$39725
威勝大廈,羅便臣道52號,單幢物業,60,111,1,-
敦皓,干德道31號,單幢物業,2,111,1,-
金鳳閣,聖士提反里1-2號,單幢物業,37,114,1,-
嘉富大廈,般咸道19-27號,單幢物業,31,72,1,$17241
SOHO 38,些利街38號,單幢物業,10,78,1,-
雅苑,羅便臣道82號,單幢物業,26,76,1,-
帝華臺,列拿士地臺1號,單幢物業,20,75,1,-
英輝閣,英輝臺1號,單幢物業,32,74,1,$21883
莊士明德軒,聖士提反里5號,單幢物業,15,73,1,-
禮賢樓,般咸道84號,單幢物業,45,60,1,-
金風大廈,般咸道59-61號,單幢物業,34,69,1,-
華庭閣,干德道49號,單幢物業,23,96,1,-
美蘭閣,堅道58-62號,單幢物業,28,96,1,-
寶玉閣,西摩道49號,單幢物業,27,92,1,-
麗怡大廈,般咸道38號,單幢物業,29,93,1,-
嘉寶園,西摩臺2-3號,單幢物業,43,78,1,-
CONDUIT 18,干德道16-18號,單幢物業,8,32,1,-
南寧大廈,般咸道58-60號,單幢物業,45,54,1,-
THE ICON,干德道38號,單幢物業,8,68,1,-
百合苑,般咸道20-22號,單幢物業,25,66,1,-
龍騰閣,旭龢道5號,單幢物業,29,56,1,-
嘉富臺,干德道62號,單幢物業,23,56,1,-
柏苑,柏道12A號,單幢物業,23,66,-,-
天匯,干德道39號,單幢物業,9,67,-,-
殷豪閣,干德道2號,單幢物業,27,54,-,-
信怡閣,羅便臣道60號,單幢物業,24,84,-,-
堅苑,堅道139號,單幢物業,46,84,-,-
羅便臣道31號,羅便臣道31號,單幢物業,11,84,-,-
NO. 1 加冕臺,加冕臺1號,單幢物業,4,77,-,-
慧源閣,堅道63-69號,單幢物業,28,86,-,-
嘉輝大廈,西摩道23號,單幢物業,45,96,-,-
福臨閣,活倫臺2-3號,單幢物業,32,96,-,-
廣堅大廈,堅道22-22A號,單幢物業,31,106,-,-
威都閣,旭龢道3號,單幢物業,37,62,-,-
嘉年華閣,堅道141-145號,單幢物業,44,62,-,-
翰庭軒,堅道75號,單幢物業,19,78,-,-
樂欣大廈,摩羅廟街31-37號,單幢物業,32,78,-,-
蔚庭軒,柏道18號,單幢物業,21,134,-,-
堅威大廈,堅道128-132號,單幢物業,49,163,-,-
MY CENTRAL,嘉咸街23號,單幢物業,0,185,-,-
帝匯豪庭,羅便臣道23號,單幢物業,0,90,-,-
薄扶林道63號,薄扶林道63號,屋苑,0,350,-,-
慧明苑,干德道36號,屋苑,28,198,-,-
帝豪閣,干德道62G號,屋苑,22,196,-,-
金谷大廈,堅道135-137號,單幢物業,45,91,-,-
安峰大廈,堅道110-118號,單幢物業,41,102,-,-
穎章大廈,般咸道37-47號,單幢物業,33,101,-,-
匯豪閣,干德道42號,單幢物業,22,120,-,-
美麗臺,西摩道4A-4P號,單幢物業,55,195,-,-
富麗苑,沙宣道29-30號,屋苑,37,7,-,-
慧苑,克頓道5號,屋苑,33,100,-,-
康苑,干德道17-25號,屋苑,44~56,86,-,-
蔚巒閣,羅便臣道74號,屋苑,25,88,-,-
羅便臣道80號,羅便臣道80號,屋苑,17,264,-,-
龍德苑,環角道52號,屋苑,18,984,13,$11971
陽明山莊,大潭水塘道88號,屋苑,29~30,984,13,$29308
紅山半島,白筆山道18號,屋苑,27~28,494,3,$25498
淺水灣麗景園,麗景道18-40號,屋苑,42~48,240,3,-
龍欣苑,環角徑60號,屋苑,25,360,2,-
冠園,淺水灣道21A-21D號,屋苑,56,48,2,-
富豪海灣,黃麻角道88號,屋苑,14~15,139,2,$31312
華景園,南灣道61號,屋苑,32,174,2,$26446
欣怡居,山頂道8-12號,屋苑,0,35,1,-
南灣大廈,南灣道59號,單幢物業,34,99,1,$20054
海峰園,淺水灣道19A-19D號,屋苑,53~55,48,1,-
南灣花園,南灣坊33號,屋苑,33,60,1,-
浪琴園,大潭道38號,屋苑,28,374,1,-
壽臣山道東1號,壽臣山道東1號,屋苑,19,20,-,-
淺水灣道37號,淺水灣道37號,屋苑,24,137,-,-
環角徑2號,環角徑2號,屋苑,4,7,-,-
NO. 50 STANLEY VILLAGE ROAD,赤柱村道50號,屋苑,6,12,-,-
SHOUSON PEAK,壽山村道9-19號,屋苑,6,31,-,-
THE BELVEDERE,種植道61號,屋苑,20~21,6,-,-
MOUNT NICHOLSON,聶歌信山道8號,屋苑,2~3,67,-,-
囍匯,利東街,屋苑,3~4,1276,32,$26446
尚翹峰,皇道大道東258號,屋苑,12,652,13,$21762
